,p,mse,mse_tuned,mae,mae_tuned,psnr,psnr_tuned,ssim,ssim_tuned
0,0,0.017405228689312935,0.017405228689312935,0.0790720283985138,0.0790720283985138,35.52933883666992,35.52933883666992,0.8435302972793579,0.8435302972793579
0,0.1,0.102551714,0.021077573,0.232084423,0.090944715,25.20052147,33.72589874,0.725871086,inf
1,0.2,0.218752459,0.025630869,0.354948223,0.10036841,21.76914024,32.32233047,0.655718863,0.804992855
2,0.3,0.383558303,0.031758495,0.483293951,0.109461069,19.33121872,31.00908852,0.576670706,0.79349792
3,0.4,0.600398183,0.040711612,0.614043474,0.121048734,17.39745522,29.64924622,0.51180321,0.772449136
4,0.5,0.972577155,0.056248192,0.795732081,0.14130719,15.255476,28.02008057,0.412145555,0.734426022
5,0.6,1.461001277,0.083921991,0.988776147,0.169211119,13.44835472,26.16678429,0.345335692,0.701774895
6,0.7,1.883054495,0.118446067,1.124944329,0.199559599,12.36602402,24.63093567,0.282328278,0.666897535
7,0.8,2.240444183,0.156810462,1.223440647,0.22947225,11.6033535,23.38622475,0.230865419,0.633767486
8,0.9,2.752133608,0.208144605,1.359631777,0.270048499,10.73718929,22.12575912,0.150659412,0.603388965
