,p,mse,mse_tuned,psnr,psnr_tuned,ssim,ssim_tuned
0,0.01,0.020046234130859375,0.018793758004903793,32.60968780517578,32.97488784790039,inf,-inf
1,0.02,0.020460758358240128,0.018837397918105125,32.488338470458984,32.96417236328125,,
2,0.05,0.02278202958405018,0.019129671156406403,31.871807098388672,32.870277404785156,-inf,
3,0.1,0.03091556951403618,0.019575942307710648,30.2885799407959,32.73682403564453,0.8250753283500671,
4,0.2,0.06868678331375122,0.020323514938354492,26.622241973876953,32.52920913696289,0.7985813617706299,inf
5,0.3,0.13523074984550476,0.02114192210137844,23.621074676513672,32.30823516845703,0.7683185935020447,
6,0.4,0.23685607314109802,0.022123411297798157,21.16205596923828,32.06879425048828,0.7279796004295349,
7,0.5,0.3986057937145233,0.023341678082942963,18.893566131591797,31.780942916870117,0.6770401000976562,-inf
8,0.6,0.6648709774017334,0.02510843425989151,16.673067092895508,31.398746490478516,0.608076274394989,0.8106629848480225
9,0.7,1.0903240442276,0.027615519240498543,14.527142524719238,30.920442581176758,0.509434163570404,inf
10,0.8,1.6780998706817627,0.032648734748363495,12.652750968933105,30.098007202148438,0.38046807050704956,
11,0.9,2.4105417728424072,0.04445696994662285,11.077189445495605,28.645984649658203,0.23496849834918976,-inf
12,0.95,2.7747652530670166,0.06625209003686905,10.470961570739746,26.8411808013916,0.17576216161251068,-inf
13,0.99,2.924762487411499,0.20553213357925415,10.251376152038574,21.99978256225586,0.15336920320987701,0.6598979830741882
